WKT,uniqueid,start_nid,end_nid,oneway,osmid,length,type,lanes,maxspeed,capacity,fft
"LINESTRING (-122.2665951 37.8424011,-122.2667836 37.8433475)","972","350","349","0","6342101",106.529,residential,"1","30","900",7.94329937533333
"LINESTRING (-122.2665951 37.8424011,-122.2663514 37.8424321,-122.2661453 37.8424585,-122.2653123 37.842575,-122.2648332 37.8426403)","973","557","349","0","518918487",156.986,residential,"1","30","900",11.7056087613333
"LINESTRING (-122.2667836 37.8433475,-122.2669714 37.8442597)","974","351","350","0","6342101",102.764,residential,"1","30","900",7.66256340533333
"LINESTRING (-122.2667836 37.8433475,-122.2665951 37.8424011)","975","349","350","0","6342101",106.529,residential,"1","30","900",7.94329937533333
"LINESTRING (-122.2667836 37.8433475,-122.2661864 37.8434279,-122.2661038 37.8434392,-122.2659155 37.8434655,-122.2656011 37.8435057,-122.2649594 37.843599)","976","558","350","0","22958289",162.61,residential,"1","30","900",12.1249604466667
"LINESTRING (-122.2669714 37.8442597,-122.2667836 37.8433475)","977","350","351","0","6342101",102.764,residential,"1","30","900",7.66256340533333
"LINESTRING (-122.2669714 37.8442597,-122.2664714 37.8443266,-122.2660479 37.8443833)","978","710","351","0","72784414",82.248,residential,"1","30","900",6.132794704
"LINESTRING (-122.2319937 37.859463,-122.2322833 37.8592713)","979","813","352","0","6360022",33.178,residential,"1","30","900",2.47390651066667
"LINESTRING (-122.2319937 37.859463,-122.2320405 37.85952,-122.232129 37.8595168,-122.2324991 37.8594025,-122.2334356 37.8592151)","980","353","352","0","6342460",135.036,residential,"1","30","900",10.068914328
"LINESTRING (-122.2319937 37.859463,-122.2316714 37.859364,-122.2313314 37.8593819,-122.2310866 37.8594733)","981","1845","352","0","6360022",84.049,residential,"1","30","900",6.26708566866667
"LINESTRING (-122.2334356 37.8592151,-122.2324991 37.8594025,-122.232129 37.8595168,-122.2320405 37.85952,-122.2319937 37.859463)","982","352","353","0","6342460",135.036,residential,"1","30","900",10.068914328
"LINESTRING (-122.264291 37.8540793,-122.2641477 37.8533649)","983","361","354","0","25315896",80.428,residential,"1","25","900",7.1965044128
"LINESTRING (-122.264291 37.8540793,-122.2644444 37.854799)","984","636","354","0","25315896",81.152,residential,"1","25","900",7.2612861952
"LINESTRING (-122.264291 37.8540793,-122.2662051 37.8538354,-122.2662197 37.8538335,-122.2663237 37.8538206)","985","1289","354","0","6342542",180.769,residential,"1","25","900",16.1747762744
"LINESTRING (-122.2032819 37.8404468,-122.2035068 37.8407519,-122.203766 37.8411035)","986","356","355","0","6342660",84.494,residential,"1","30","900",6.30026694533333
"LINESTRING (-122.2032819 37.8404468,-122.2034039 37.8403345,-122.20353 37.8402255)","987","148","355","0","6394075",32.87,tertiary,"1","30","900",2.45094059333333
